Date,Amount,
1/1/2017,35116,
1/2/2017,35946,
1/3/2017,32531,
1/4/2017,29574,
1/5/2017,38898,
1/6/2017,33618,
1/7/2017,36278,
1/8/2017,37666,
1/9/2017,35360,
1/10/2017,37580,
1/11/2017,35738,
1/12/2017,35363,
1/1/2018,36100,
1/2/2018,37953,
1/3/2018,39843,
1/4/2018,34791,
1/5/2018,35397,
1/6/2018,40258,
1/7/2018,39177,
1/8/2018,36573,
1/9/2018,37009,
1/10/2018,36129,
1/11/2018,38865,
1/12/2018,38545,
1/1/2019,37922,
1/2/2019,40335,
1/3/2019,37043,
1/4/2019,32587,
1/5/2019,35864,
1/6/2019,38975,
1/7/2019,37868,
1/8/2019,38425,
1/9/2019,33901,
1/10/2019,35513,
1/11/2019,34894,
1/12/2019,41188,
1/1/2020,38122,
1/2/2020,38987,
1/3/2020,29335,
1/4/2020,17550,
1/5/2020,33403,
1/6/2020,40557,
1/7/2020,30730,
1/8/2020,38512,
1/9/2020,37989,
1/10/2020,27203,
1/11/2020,32536,
1/12/2020,32909,
1/1/2021,29083,
1/2/2021,30200,
1/3/2021,35865,
1/4/2021,31035,
1/5/2021,35692,
1/6/2021,26291,
1/7/2021,29143,
1/8/2021,30803,
1/9/2021,37380,
1/10/2021,31810,
1/11/2021,33670,
1/12/2021,34082,
