Month,Total_Amount,No_of_mobiles,Mobile_collection,In_house_collection
16-01,33731,389,31032,2699
16-02,33552,390,31366,1186
16-03,32722,459,30475,2247
16-04,28248,383,25735,2513
16-05,35907,340,32674,3233
16-06,32860,401,30213,2647
16-07,35172,448,32866,2306
16-08,35153,454,32923,2230
16-09,34125,453,31449,2676
16-10,37534,503,34936,2598
16-11,39526,508,36981,2545
16-12,35645,469,33267,2378
17-01,35116,437,31850,3266
17-02,35946,444,33667,2279
17-03,32531,451,29892,2639
17-04,29574,406,26268,3306
17-05,38898,486,35579,3319
17-06,33618,421,30256,3362
17-07,36278,453,33056,3222
17-08,37666,470,35192,2474
17-09,35360,474,32778,2582
17-10,37580,487,34990,2590
17-11,35738,477,33340,2398
17-12,35363,457,32714,2649
18-01,36100,438,32541,3559
18-02,37953,450,35258,2695
18-03,39843,535,37307,2536
18-04,34791,406,31681,3110
18-05,35397,470,32483,2914
18-06,40258,503,37257,3001
18-07,39177,500,36596,2581
18-08,36573,443,33921,2652
18-09,37009,494,34430,2579
18-10,36129,478,33376,2753
18-11,38865,473,36379,2486
18-12,38545,446,35924,2621
19-01,37922,448,35036,2886
19-02,40335,485,38230,2105
19-03,37043,476,34746,2297
19-04,32587,373,26870,5717
19-05,35864,391,31862,4002
19-06,38975,455,36230,2745
19-07,37868,449,35461,2407
19-08,38425,488,35907,2518
19-09,33901,459,31108,2793
19-10,35513,450,32893,2620
19-11,34894,448,31506,3388
19-12,41188,482,38115,3073
20-01,38122,450,35366,2756
20-02,38987,481,36717,2270
20-03,29335,338,23019,6316
20-04,17550,167,10069,7481
20-05,33403,346,25884,7519
20-06,40557,453,35752,4805
20-07,30730,429,26936,3794
20-08,38512,410,32838,5674
20-09,37989,461,34262,3727
20-10,27203,349,23717,3486
20-11,32536,399,26819,5717
20-12,32909,383,29346,3563
21-01,29083,361,25349,3734
21-02,30200,354,26479,3721
21-03,35865,465,31089,4776
21-04,31035,433,27119,3916
21-05,35692,337,24935,10757
21-06,26291,293,20120,6171
21-07,29143,409,24546,4597
21-08,30803,366,23954,6849
21-09,37380,430,32616,4764
21-10,31810,418,27685,4125
21-11,33670,441,29464,4206
21-12,34082,466,29200,4882
